Drug Name,Indication
Encorafenib,Encorafenib is indicated in combination with [binimetinib] for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation and metastatic non-small cell lung cancer (NSCLC) with a BRAF V600E mutation. It is also indicated in combination with [cetuximab] for the treatment of adult patients with metastatic colorectal cancer with a BRAF V600E mutation.[L48581]
Ribociclib,"Ribociclib is indicated in combination with an aromatase inhibitor (e.g. [letrozole]) for the adjuvant treatment of adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative stage II and III early breast cancer at high risk of recurrence.[L51529] It is also indicated, in combination with an aromatase inhibitor or [fulvestrant], in adults with HR-positive, HER2-negative advanced or metastatic breast cancer.[L51529]"
Galactose,"There are limited therapeutic uses for which galactose is formally indicated. Some predominant indications include (a) the use of galactose to facilitate the construction of structurally and immunologically effective attenuated vaccines [T188, L2633], and (b) the role galactose plays as an essential element in the formation of lactulose - a synthetic disaccharide indicated for the treatment of constipation and/or hepatic encephalopathy (HE); hepatic coma [L2632].

Nevertheless, there are many studies looking into a variety of possible uses for galactose, including the use of the monosaccharide sugar for accelerating senescence in mice, rats, and Drosophila [A32853, A32854], the proposed association between galactose in consumed milk and ovarian cancer [A32855, A32856], a possible role in the therapy of focal segmental glomerulosclerosis [A32858], among various others. Regardless, none of these proposed indications have yet been formally elucidated for practical use."
Icotinib,"Icotinib hydrochloride is a novel epidermal growth factor receptor (EGFR)–tyrosine kinase inhibitor, exhibits encouraging efficacy and tolerability in patients with advanced non-small-cell lung cancer (NSCLC) who failed previous chemotherapy."
Talazoparib,"Talazoparib is indicated for the treatment of adult patients with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) HER2-negative locally advanced or metastatic breast cancer. This indication is approved by the FDA, EMA, and Health Canada.[L47236, L47301, L47306]

Talazoparib is also indicated in combination with [enzalutamide] for the treatment of adult patients with HRR gene-mutated metastatic castration-resistant prostate cancer (mCRPC).[L47236, L47306]"
Tremelimumab,"Tremelimumab is indicated for the treatment of adult patients with unresectable hepatocellular carcinoma in combination with [durvalumab].[L43652, L46188] It is also indicated in combination with durvalumab and platinum-based chemotherapy for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with no sensitizing epidermal growth factor receptor (EGFR) mutation or anaplastic lymphoma kinase (ALK) genomic tumor aberrations.[L44126, L46188]"
Capmatinib,"In the US, capmatinib is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test.[L13347]

Capmatinib is approved to treat adults with locally advanced unresectable or metastatic non-small cell lung cancer (NSCLC) with MET exon 14 skipping alterations in Canada.[L42010]"
Niraparib,"Niraparib is indicated for the maintenance treatment of adult patients with advanced or recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy.[L43277, L43742, L43747]

In Canada and the US, niraparib is also available in a combination product with [abiraterone], which is indicated with [prednisone] for the treatment of adults with deleterious or suspected deleterious BRCA-mutated (BRCAm) metastatic castration-resistant prostate cancer (mCRPC).[L46896, L47755] In Canada, this combination product is also used with [prednisolone] and is reserved for patients who are asymptomatic or mildly symptomatic, and in whom chemotherapy is not clinically indicated.[L46896]"
Tivozanib,"Tivozanib is approved in the USA for the treatment of relapsed or refractory renal cell carcinoma in adult patients who have undergone two or more systemic therapies.[L32524] In the UK and other countries, it is indicated as first-line therapy of adults with advanced renal cell carcinoma (RCC) and VEGFR and mTOR pathway inhibitor-naïve patients after disease progression following one previous treatment with cytokine therapy for advanced disease.[L17180]"
Neratinib,"For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzumab-based therapy [FDA Label]."
Relugolix,"Relugolix is indicated for the treatment of adult patients with advanced prostate cancer.[L27991,L42145] In a combination product with [estradiol] and [norethindrone], relugolix is indicated for the once-daily treatment for the management of heavy menstrual bleeding associated with uterine fibroids in premenopausal women.[L34289]"
Infigratinib,"Infigratinib is indicated for the treatment of previously treated, unresectable locally advanced or metastatic cholangiocarcinoma in adults with a fibroblast growth factor receptor 2 (FGFR2) fusion or another rearrangement as detected by an FDA-approved test.[L34299]"
Apalutamide,Apalutamide is indicated for the treatment of patients with metastatic castration-sensitive prostate cancer and non-metastatic castration-resistant prostate cancer.[L45538]
Avelumab,"Avelumab is indicated for the treatment of adults with metastatic Merkel cell carcinoma (MCC).[L48126, L48171] In the US, it is also used in patients 12 years and older.[L48121] 

It is also indicated as the maintenance treatment in patients with locally advanced or metastatic urothelial carcinoma (UC), which has not progressed with first-line platinum-containing chemotherapy.[L40373, L48126, L48171] In the US, avelumab is also indicated to treat locally advanced or metastatic UC with disease progression during or after platinum-containing chemotherapy or within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.[L40373]

Avelumab is indicated, in combination with [axitinib], for the first-line treatment of advanced renal cell carcinoma (RCC).[L40373]"
Dacomitinib,"Dacomitinib is indicated as the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as verified by an FDA-approved test.[L4812]

Lung cancer is the leading cause of cancer death and NSCLC accounts for 85% of lung cancer cases. From the cases of NSCLC, approximately 75% of the patients present a late diagnosis with metastatic and advanced disease which produces a survival rate of 5%. The presence of a mutation in EGFR accounts for more than the 60% of the NSCLC cases and the overexpression of EGFR is associated with frequent lymph node metastasis and poor chemosensitivity.[A40018, A19201]"
Binimetinib,"Binimetinib, in conjunction with encorafenib, is indicated for the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutation and metastatic non-small cell lung cancer (NSCLC) with a BRAF V600E mutation.[L48606]"
Glasdegib,"Glasdegib, in combination with cytarabine, is indicated for the treatment of newly diagnosed acute myeloid leukemia in adult patients who are over 75 years old or that have co-morbidities that preclude intensive induction chemotherapy.[L5080]

Acute myeloid leukemia is characterized by abnormal production of myeloblasts, red cells, or platelets. It is considered a cancer of blood and bone marrow and it is the most common type of acute leukemia in adults.[L4832]"
Entrectinib,"Entrectinib is indicated for the treatment of metastatic ROS1-positive non-small cell lung cancer in adults.[L8081] Entrectinib is also indicated in adults and children over 12 years old for the treatment of NTRK gene fusion-positive solid tumors which have metastasized or for which surgical resection is likely to result in severe morbidity and for which has progressed on previous therapies or for which no comparable alternative therapies are available.

FoundationOne®Liquid CDx is the only FDA-approved test for the detection of ROS1 rearrangement(s) in NSCLC for selecting patients for treatment with entrectinib.[L44518]"
Abemaciclib,"* Indicated in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. 

* Inidicated as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting."
Nirogacestat,Nirogacestat is indicated for adult patients with progressing desmoid tumors who require systemic treatment.[L48857]
Alpelisib,"Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer. This cancer must be hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, and PIK3CA­ mutated. The cancer must be detected by an FDA-approved test following progression on or after an endocrine-based regimen.[L6652]

Alpelisib is also used to treat adult and pediatric patients two years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy. This indication is approved under accelerated approval based on response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).[L41384]"
Lorlatinib,"Lorlatinib is indicated for the treatment of adult patients with ALK-positive metastatic non-small cell lung cancer (NSCLC).[L39905] In the EU, it is indicated for the treatment of adult patients with ALK-positive advanced NSCLC not previously treated with an ALK inhibitor, or whose disease has progressed after using either [alectinib] or [ceritinib], or [crizotinib] and at least one other ALK inhibitor.[L13580]"
Gilteritinib,"Gilteritinib is indicated for the treatment of adult patients who have relapsed or refractory acute myeloid leukemia with an FLT3 mutation detected by an FDA-approved test. This indication was expanded for a companion diagnostic to include use with gilteritinib such as the LeukoStrat CDx FLT3 Mutation Assay.[L4830]

Acute myeloid leukemia is cancer that impacts the blood and bone marrow with a rapid progression. This condition produces low numbers of normal blood cells and the requirement of continuous need for transfusions.[L4832]"
Erdafitinib,"Erdafitinib is a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor that is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma that has susceptible FGFR3 or FGFR2 genetic alterations and has progressed during or following at least one line of prior platinum-containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy.[A177109, A177112, A177115,L45648]

The selection of patients for the treatment of locally advanced or metastatic urothelial carcinoma with erdafitinib should be based on the presence of susceptible FGFR genetic alterations in tumor specimens as detected by an FDA-approved companion diagnostic like the FDA-approved therascreen FGFR RGQ RT-PCR Kit as developed by QIAGEN.[L45648]

This above indication is approved under accelerated approval by the FDA based on tumor response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.[L45648]"
Capivasertib,"Capivasertib, in combination with fulvestrant, is indicated for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, locally advanced or metastatic breast cancer with one or more PIK3CA/AKT1/PTEN-alteration as detected by an FDA-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy.[L48691]"
Stem bromelain,"The primary medical purpose for which stem bromelain (SB) is currently indicated for is the removal of eschar in adults with deep partial- and full-thickness thermal burns [FDA Label].

Besides this official indication, however, it is also believed that SB may be used as a treatment for several other purposes as well, including cardiovascular health, osteoarthritis, autoimmunity, blood clotting, diarrhea, cancer, surgery, and debridement - although the specific mechanisms of action for these indications remain to be elucidated [A27198]."
Brigatinib,"The anaplastic lymphoma kinase positive, metastatic non-small cell lung cancer (ALK+ NSCLC), represents only 3-5% of the NSCLC cancer cases, but the ALK mutation, overexpression and presence in several oncogenic fusion proteins in solid and hematologic tumors have pointed out the importance as well as its potential as a cancer therapy target.[A31311] The ALK-related cases of NSCLC are associated with the presence of the fusion gene EML4-ALK which fused the ALK protein with the echinoderm microtubule-associated protein like-4 whose original function is the correct formation of microtubules.[A31313] The presence of the aberrant fusion protein results in abnormal signaling that provokes increased cell growth, proliferation and survival.[A31316] Crizotinib is indicated for the treatment of such cases but the presence of ALK kinase domain mutations confer resistance to the treatment. Thus, brigatinib is indicated for the treatment of patients with ALK+ NSCLC with intolerance to Crizotinib.[A31314]"
Radotinib,"Radotinib is indicated for the treatment of different types of cancer, most notably Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) with resistance or intolerance of other Bcr-Abl tyrosine-kinase inhibitors, such as patients resistant or intolerant to imatinib."
Cantharidin,"Cantharidin is approved by the FDA for the topical treatment of molluscum contagiosum in adult and pediatric patients 2 years of age and older.[L47501] It has also been approved by Health Canada for the treatment of common warts (verruca vulgaris), periungual warts, and molluscum contagiosum as a standalone product and resistant and heavily keratinized plantar warts as a combination product with [salicylic acid] and [podophyllin].[L47511] 

At the same time, such topical cantharidin applications have also been used for a number of off-label indications like callus removal, cutaneous leishmaniasis, herpes zoster, and acquired perforating dermatosis.[A32892] Furthermore, since most topical cantharidin applications are most commonly available in a 0.7% formulation or a more potent 1% mixture, the 0.7% formulation is most commonly indicated for the treatment of common warts, periungual warts, and molluscum contagiosum while the more potent 1% mixture is typically limited only for use by healthcare professionals in a clinical setting for treating plantar warts and other more specialized off-label conditions.[A32891, A32892, F32]

Moreover, there have also been studies into whether or not cantharidin could be effective at being used as an inflammatory model or in cancer treatment - either of which has yet to elucidate any results formally.[A32892]"
Rucaparib,"Rucaparib is indicated for the maintenance treatment of adult patients with a deleterious BRCA mutation (germline and/or somatic)- associated recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy.[L44572]

Under accelerated approval by the FDA, rucaparib is also indicated for the treatment of adult patients with a deleterious BRCA mutation (germline and/or somatic)-associated metastatic castration-resistant prostate cancer (mCRPC) who have been treated with androgen receptor-directed therapy and a taxane-based chemotherapy.[L44572]"
Alvespimycin,"Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia."
Mirvetuximab soravtansine,"Mirvetuximab soravtansine is indicated for the treatment of adult patients with folate receptor alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have received one to three prior systemic treatment regimens. Patients are selected for therapy based on an FDA-approved test.[L43967]"
Lurbinectedin,Lurbinectedin is indicated for the treatment of adult patients with metastatic small-cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy.[L14327]
Moxetumomab pasudotox,"MxP is indicated for the treatment of adult patients with relapsed or refractory hairy cell leukemia (HCL) who received at least two prior systemic therapies including treatment with a purine nucleoside analog. The use of this drug is not recommended in patients with severe renal impairment (CrCl < 29 ml/min).[L4568]

HCL is an uncommon type of lymphocytic leukemia that starts in B cells or B lymphocytes. It is characterized by an accumulation of abnormal B lymphocytes. HCL is called ""hairy"" as it produces hair-like projections in the surface of the cancer cells. A usual symptom in people having HCL is the presence of splenomegaly and less often hepatomegaly.[A38877]"
Amuvatinib,"Amuvatinib is a selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical component of double-stranded DNA repair in cancer cells."
Quizartinib,"Quizartinib is indicated in combination with standard cytarabine and anthracycline induction and cytarabine consolidation, and as maintenance monotherapy following consolidation chemotherapy, for the treatment of adult patients with newly diagnosed acute myeloid leukemia (AML) that is FLT3 internal tandem duplication (ITD)-positive as detected by an FDA-approved test.[L47426]"
Tazemetostat,"Tazemetostat is indicated to treat adult and pediatric patients 16 years and older with metastatic or locally advanced epithelioid sarcoma that is not eligible for complete resection.[L11476] It is also indicated to treat adult patients with relapsed or refractory follicular lymphoma whose tumors are positive for an IZH2 mutation and who have received at least 2 prior systemic therapies.[L11476] Additionally, it is indicated in adult patients with relapsed or refractory follicular lymphoma who have no satisfactory alternative treatment options.[L11476]"
Sacituzumab govitecan,"Sacituzumab govitecan is indicated for adult patients with unresectable locally-advanced or metastatic triple-negative breast cancer (mTNBC) who have undergone two or more prior therapies for metastatic disease by the FDA, Health Canada, and EMA.[L45103,L47596,L47606] It is also indicated for the treatment of unresectable locally advanced or metastatic hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer who have received endocrine-based therapy and at least two additional systemic therapies in the metastatic setting.[L45103,L47596,L47606] These indications are approved in the US, Canada, and Europe.

In the US, sacituzumab govitecan is additionally indicated for the treatment of locally advanced or metastatic urothelial cancer in adult patients who have received previous platinum-based therapy and either a programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor. This indication has been approved under accelerated approval, and continued approval may be contingent on the demonstration of clinical benefit in confirmatory trials.[L13002]"
Darolutamide,Darolutamide is indicated for the treatment of adults with non-metastatic castration-resistant prostate cancer (nmCRPC) and metastatic hormone-sensitive prostate cancer (mHSPC) in combination with [docetaxel].[L42765]
Pexidartinib,Pexidartinib is indicated for the treatment of adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated with severe morbidity or functional limitations and not amenable to improvement with surgery.[L7883]
Enfortumab vedotin,"Enfortumab vedotin is indicated for the treatment of adult patients with locally advanced or metastatic urothelial cancer who have previously received a programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor, and platinum-containing chemotherapy in the neoadjuvant/adjuvant, locally advanced, or metastatic setting.[L10836,L41995] Enfortumab vedotin can also be indicated in combination with pembrolizumab in adult patients with locally advanced or metastatic urothelial cancer who are not eligible for cisplatin-containing chemotherapy under accelerated approval from the FDA.[L45813]"
Lenograstim,"The drug is used to reduce the risk of life-threatening infection in patients with neutropenia, particularly after cytotoxic chemotherapy. 
Lenograstim is indicated as a treatment to reduce the duration of neutropenia and the severity of infections in patients with non-myeloid malignancy who have undergone autologous or allogeneic bone marrow transplantation, or treatment with established cytotoxic chemotherapy and in addition to reduce the incidence of infection associated with established cytotoxic chemotherapy.
Lenograstim is also indicated to mobilise peripheral blood progenitor cells (PBPCs) with Lenograstim alone, or after myelosuppressive chemotherapy, in order to accelerate haematopoietic recovery by infusion of such cells, after myelosuppressive or myeloablative therapy. Lenograstim  is also indicated to accelerate the engraftment of these cells after their reinfusion.

GRANOCYTE is also indicated for the treatment of severe chronic neutropenia including congenital agranulocytosis (Kostmann's syndrome)."
Nedaplatin,"Used in the treatment of non-small cell lung cancer, small cell lung cancer, oesophygeal cancer, and head and neck cancers [A20300]."
Fluciclovine (18F),Fluciclovine is indicated as a detection agent for positron emission tomography (PET) in men with suspected prostate cancer recurrence based on elevated blood prostate specific antigen (PSA) levels following prior treatment.[A31388] The overexpression of L-type amino acid transporters such as LAT1 and LAT3 that mediate the uptake of essential amino acids has been extensively reported as a tumoral mechanism of cell growth.[A31389]
Olmutinib,For use in treatment of metastatic T790M mutation positive non-small cell lung cancer [A19196].
Inositol,"Inositol may be used in food without any limitation. As a drug, inositol is used as a nutrient supplement in special dietary foods and infant formula.[L2561] As it presents a relevant role in ensuring oocyte fertility, inositol has been studied for its use in the management of polycystic ovaries.[A32751] Inositol is also being researched for the treatment of diabetes,[A32766] prevention of metabolic syndrome,[A32768] aid agent for weight loss,[A32769] treatment of depression, psychiatric disorder and anxiety disorder[A32770] and for prevention of cancer.[A32771]"
Lipegfilgrastim,Indicated for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) [L2441].
Mifamurtide,"Indicated in children, adolescents and young adults for the treatment of high-grade, resectable, non-metastatic osteosarcoma after macroscopically complete surgical resection, typically in combination with post-operative multi-agent chemotherapy [L1203]."
Glycyrrhizic acid,"Glycyrrhizic acid is widely applied in foods as a natural sweetener. As a therapeutic agent, is has been used in a vast variety of formulations as it is reported to be anti-inflammatory, anti-ulcer, anti-allergic, antioxidant, anti-tumor, anti-diabetic and hepatoprotective. Due to this properties, its indications have been: treatment of premenstrual syndrome, treatment of viral infections, anti-lipidemic and antihyperglycemic.[A33063] It is also known to be used as a remedy for peptic ulcer and other stomach diseases.[T205]"
Anethole trithione,"The most typical uses for which anethol trithione is currently indicated for includes increasing salivary secretion in patients experiencing dry mouth or being used as an adjunctive therapy for cholecystitis, gallstone, indigestion, and acute/chronic hepatitis [A32614, A32616, L2377].

In addition, although some studies have suggested that anethol trithione also possesses a certain capacity to inhibit tumorigenesis as a potential cancer therapy medication, the specific mechanism of action for this effect remains to be elucidated [A32619] with certain national cancer institutes listing the agent as 'a substance that is being studied in the treatment of cancer' [L2373]."
Dotatate gallium Ga-68,Dotatate gallium 68 is one of the most prominent radiopharmaceuticals used in imaging with positron emission tomography. It binds to the somatostatin-2 receptor which is usually overexpressed in many neuroendocrine tumors in both adult and pediatric patients.[A31362] The neuroendocrine tumors are bening or malignant tumors produced in the hormone producing cells of the neuroendocrine system.[L1048]
Testosterone cypionate,"Testosterone cypionate is used in males that present conditions derived from a deficiency or absence of endogenous testosterone. These conditions are 1) primary hypogonadism, defined as the testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome or orchidectomy; and 2) hypogonadotropic hypogonadism characterized by idiopathic gonadotropin, LHRH deficiency or pituitary-hypothalamic injury from tumors, trauma or radiation.[L1153]"
Testosterone enanthate,"Testosterone enanthate in males is indicated as a replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone. Some of the treated conditions are 1) primary hypogonadism, defined as testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome or orchidectomy; 2) hypogonadotropic hypogonadism due to an idiopathic gonadotropin or luteinizing hormone-releasing hormone deficiency or due to a pituitary-hypothalamic injury from tumors, trauma or radiation, in this case it is important to accompany the treatment with adrenal cortical and thyroid hormone replacement therapy; 3) to stimulate puberty in patients with delayed puberty not secondary to a pathological disorder. If the conditions 1 and 2 occur prior to puberty, the androgen replacement therapy will be needed during adolescent years for the development of secondary sexual characteristics and prolonged androgen treatment might be needed it to maintain sexual characteristics after puberty.[FDA label]

In females, testosterone enanthate is indicated to be used secondarily in presence of advanced inoperable metastatic mammary cancer in women who are from one to five years postmenopausal. It has also been used in premenopausal women with breast cancer who have benefited from oophorectomy and are considered to have a hormone-responsive tumor.[FDA label]

Testosterone enanthate injections that are currently formulated for subcutaneous use are specifically indicated only for primary hypogonadism and hypogonadotropic hypogonadism [F1941]. The use of such formulations is limited because the safety and efficacy of these subcutaneous products in adult males with late-onset hypogonadism and males less than 18 years old have not yet been established [F1941]. Moreover, subcutaneously administered testosterone enanthate is indicated only for the treatment of men with hypogonadal conditions associated with structural or genetic etiologies, considering the medication could cause blood pressure increases that can raise the risk of major adverse cardiovascular events like non-fatal myocardial infarction, non-fatal stroke, and cardiovascular death [F1941]."
Testosterone undecanoate,"Testosterone undecanoate is indicated for testosterone replacement therapy in adult males for conditions associated with a deficiency or absence of endogenous testosterone. These conditions include:

- **Congenital or acquired primary hypogonadism**: testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome, orchiectomy, Klinefelter’s syndrome, chemotherapy, or toxic damage from alcohol or heavy metals. These men usually have low serum testosterone concentrations and gonadotropins (follicle-stimulating hormone [FSH], luteinizing hormone [LH]) above the normal range.[L35970,L8932,L41355]
- **Congenital or acquired hypogonadotropic hypogonadism**: gonadotropin or luteinizing hormone-releasing hormone (LHRH) deficiency or pituitary-hypothalamic injury from tumors, trauma, or radiation. These men have low testosterone serum concentrations but have gonadotropins in the normal or low range.[L35970,L8932,L41355]

Testosterone undecanoate is not used to treat age-related hypogonadism.[L35970,L8932,L41355]"
Estradiol valerate,"Estradiol valerate is commercially available as an intramuscular injection as the product Delestrogen and is indicated for the treatment of moderate to severe vasomotor symptoms and vulvovaginal atrophy due to menopause, for the treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure, and for the treatment of advanced androgen-dependent carcinoma of the prostate (for palliation only). 

Estradiol valerate is also available in combination with [DB09123] as the commercially available product Natazia used for the prevention of pregnancy and for the treatment of heavy menstrual bleeding."
Patent Blue,"Patent blue is used for marking lymphatic vessels and arterial territories as well as for sentinel lymph node prior to biopsy in patients with operable breast cancer and clinically negative lymph nodes in combination with a radiotracer.[A32575]

Patent blue is also used in the textile, paper, agriculture and cosmetic industry.[A32574]"
Lutetium Lu 177 dotatate,"Indicated for the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs), including foregut, midgut, and hindgut neuroendocrine tumors in adults [L42160]."
alpha-Tocopherol succinate,"The primary health-related use for which alpha-tocopherol succinate is formally indicated is as a dietary supplement for patients who demonstrate a genuine vitamin E deficiency. At the same time, vitamin E deficiency is generally quite rare but may occur in premature babies of very low birth weight (< 1500 grams), individuals with fat-malabsorption disorders (as fat is required for the digestive tract to absorb vitamin E), or individuals with abetalipoproteinemia - a rare, inherited disorder that causes poor absorption of dietary fat - who require extremely large doses of supplemental vitamin E daily (around 100 mg/kg or 5-10 g/day) [L2120]. In all such cases, alpha-tocopherol is largely the preferred form of vitamin E to be administered.

Elsewhere, vitamin E's chemical profile as a fat-soluble antioxidant that is capable of neutralizing free radicals in the body continues to generate ongoing interest and study regarding how and whether or not the vitamin can help prevent or delay various chronic diseases associated with free radicals or other potential biological effects that vitamin E possesses like cardiovascular diseases, diabetes, ocular conditions, immune illnesses, cancer, and more [T166]. None of these ongoing studies have yet to elucidate any formally significant evidence, however [T166].

Similarly, more effective clinical trials are necessary to confirm what has only been accrued as preliminary data when it comes to studies proposing the demonstration of alpha-tocopherol succinate's capability to act as an anti-cancer therapy or as a regulator of inflammation [L2699, A32958, A32959]."
D-alpha-Tocopherol acetate,"_In addition to any following information, owing to d-alpha-Tocopherol acetate's closely related chemical nature with alpha-Tocopherol acetate, please also refer to the drug information page for alpha-Tocopherol acetate for further data._

Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps."
alpha-Tocopherol acetate,"The primary health-related use for which alpha-tocopherol acetate is formally indicated is as a dietary supplement for patients who demonstrate a genuine vitamin E deficiency. At the same time, vitamin E deficiency is generally quite rare but may occur in premature babies of very low birth weight (< 1500 grams), individuals with fat-malabsorption disorders (as fat is required for the digestive tract to absorb vitamin E), or individuals with abetalipoproteinemia - a rare, inherited disorder that causes poor absorption of dietary fat - who require extremely large doses of supplemental vitamin E daily (around 100 mg/kg or 5-10 g/day) [L2120]. In all such cases, alpha-tocopherol is largely the preferred form of vitamin E to be administered.

Elsewhere, vitamin E's chemical profile as a fat-soluble antioxidant that is capable of neutralizing free radicals in the body continues to generate ongoing interest and study regarding how and whether or not the vitamin can help prevent or delay various chronic diseases associated with free radicals or other potential biological effects that vitamin E possesses like cardiovascular diseases, diabetes, ocular conditions, immune illnesses, cancer, and more [T166]. None of these ongoing studies have yet to elucidate any formally significant evidence, however [T166]."
Nabiximols,"In Canada, Sativex has received a Notice of Compliance (NOC) for use as an as adjunctive treatment for symptomatic relief of spasticity in patients with multiple sclerosis (MS) who have not responded adequately to other therapy and who demonstrate meaningful improvement during an initial trial of therapy. 

Sativex has also received a Notice of Compliance with Conditions (NOC/c) for use as an adjunctive treatment for the symptomatic relief of neuropathic pain in adult patients with multiple sclerosis (MS) and as adjunctive analgesic treatment in adult patients with advanced cancer who experience moderate to severe pain during the highest tolerated dose of strong opioid therapy for persistent background pain. 

Marketing authorisations with conditions reflect the promising nature of the clinical evidence and the need for confirmatory studies to verify the clinical benefit. Patients should be advised of the conditional nature of the authorizations with conditions."
Fosnetupitant,"Indicated in combination palonosetron (as the drug Akynzeo) and dexamethasone in adults for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of cancer chemotherapy, including, but not limited to, highly emetogenic chemotherapy [FDA label].

The following are indications listed on the EMA label [F29]:

Prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy [F29].

Prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy [F29]."
Gallium chloride Ga-67,"Following complexation with [sodium citrate] to yield [gallium citrate Ga 67], gallium chloride Ga-67 is used to demonstrate the presence of Hodgkin's disease, lymphomas, bronchogenic carcinomas, and some acute inflammatory lesions.[L12705]"
Ivosidenib,"Ivosidenib is an isocitrate dehydrogenase-1 (IDH1) inhibitor approved for use in the US and Europe. It is indicated for the treatment of patients with a susceptible IDH1 mutation with:

- **Newly Diagnosed Acute Myeloid Leukemia (AML)** in combination [azacitidine] or as monotherapy for the treatment of newly diagnosed AML in adults who have comorbidities that preclude the use of intensive induction chemotherapy.[L41870, L46591] this indication is reserved for adults 75 years or older in the US.[L41870]

- **Relapsed or refractory AML** in adults in the US.[L41870]

- **Locally Advanced or Metastatic Cholangiocarcinoma** in adults who have been previously treated.[L41870, L46591]

- **Relapsed or Refractory Myelodysplastic Syndromes** in adults.[L48781]"
Drostanolone propionate,"For use in females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal."
